-1 40 15 15
1747577006472099784 0 6 7 A
1747577006474941773 0 6 6 A
1747577006479394040 0 7 6 A
1747577006483083467 0 7 7 A
1747577006487576483 0 6 7 A
1747577006490867310 0 5 7 A
1747577006493384166 0 6 7 A
1747577006494741131 0 6 6 A
1747577006500227745 0 6 6 a
1747577006472121466 1 10 13 B
1747577006477174924 1 10 12 B
1747577006480822052 1 10 13 B
1747577006482338147 1 11 13 B
1747577006485394634 1 12 13 B
1747577006489847093 1 11 13 B
1747577006494615297 1 10 13 B
1747577006497774386 1 10 14 b
1747577006508253381 1 15 15 b
1747577006472142567 2 6 5 C
1747577006475853773 2 7 5 C
1747577006480940625 2 6 5 C
1747577006482107292 2 5 5 C
1747577006486324153 2 6 5 C
1747577006490871956 2 6 4 C
1747577006494373601 2 7 4 C
1747577006499175199 2 7 3 C
1747577006502574533 2 8 3 C
1747577006506003485 2 7 3 C
1747577006508198692 2 7 4 C
1747577006512824898 2 7 5 C
1747577006472163088 3 1 12 D
1747577006475872455 3 1 11 D
1747577006478249539 3 2 11 D
1747577006479463732 3 2 12 D
1747577006481814391 3 1 12 D
1747577006483382949 3 2 12 D
1747577006487593713 3 3 12 D
1747577006490870988 3 2 12 D
1747577006494364212 3 2 13 D
1747577006497824236 3 1 13 D
1747577006502456927 3 2 13 D
1747577006505866908 3 3 13 D
1747577006472184576 4 1 9 E
1747577006474763865 4 0 9 E
1747577006478305196 4 0 10 E
1747577006479381456 4 0 9 E
1747577006482043407 4 14 9 E
1747577006486488995 4 14 10 E
1747577006488975651 4 14 11 E
1747577006493165894 4 14 10 E
1747577006497769837 4 14 11 E
1747577006499224855 4 13 11 E
1747577006502575597 4 13 12 E
1747577006506076565 4 12 12 E
1747577006472205290 5 7 9 F
1747577006474801421 5 7 8 F
1747577006479550557 5 7 7 F
1747577006480719449 5 6 7 F
1747577006483141447 5 6 6 F
1747577006485207917 5 7 6 F
1747577006487598746 5 7 5 F
1747577006492060595 5 7 6 F
1747577006499315648 5 7 6 f
1747577006472226295 6 9 8 G
1747577006474759799 6 8 8 G
1747577006479392878 6 8 7 G
1747577006485223888 6 9 7 G
1747577006489907300 6 10 7 G
1747577006493406332 6 9 7 G
1747577006495687492 6 9 6 g
1747577006505800990 6 15 15 g
1747577006472246622 7 14 10 H
1747577006475892781 7 13 10 H
1747577006479516001 7 13 11 H
1747577006481866757 7 13 10 H
1747577006487604167 7 12 10 h
1747577006497777000 7 15 15 h
1747577006472268013 8 10 6 I
1747577006477156340 8 10 5 I
1747577006479513968 8 9 5 I
1747577006484135044 8 8 5 I
1747577006486465474 8 8 4 I
1747577006490926161 8 8 5 I
1747577006493161441 8 7 5 I
1747577006495550238 8 6 5 I
1747577006501342046 8 6 5 i
1747577006472288631 9 12 5 J
1747577006477113169 9 11 5 J
1747577006479519582 9 11 4 j
1747577006489728326 9 15 15 j
1747577006472309829 10 7 3 K
1747577006475859194 10 6 3 K
1747577006478254572 10 5 3 K
1747577006480886808 10 5 4 K
1747577006485324458 10 6 4 K
1747577006487570579 10 7 4 K
1747577006492056239 10 8 4 K
1747577006495620317 10 8 3 K
1747577006500236166 10 9 3 K
1747577006502741116 10 9 4 K
1747577006507149147 10 9 3 K
1747577006472330155 11 4 10 L
1747577006477097585 11 4 11 l
1747577006487572321 11 15 15 l
1747577006472351257 12 5 2 M
1747577006478368984 12 4 2 M
1747577006479462957 12 5 2 M
1747577006484112104 12 4 2 M
1747577006489035276 12 4 3 M
1747577006492050431 12 4 2 M
1747577006494742195 12 3 2 M
1747577006497786098 12 3 1 M
1747577006499120123 12 4 1 M
1747577006501402058 12 5 1 M
1747577006502626898 12 5 2 M
1747577006504757834 12 5 1 M
1747577006472371777 13 9 2 N
1747577006477101844 13 9 1 N
1747577006480704930 13 10 1 N
1747577006482106130 13 11 1 N
1747577006487596326 13 11 2 N
1747577006493156117 13 11 3 N
1747577006497773322 13 10 3 N
1747577006502821940 13 9 3 N
1747577006506024973 13 8 3 N
1747577006509418015 13 8 4 N
1747577006513974335 13 7 4 N
1747577006516448989 13 7 3 N
1747577006519861099 13 8 3 N
1747577006472392685 14 11 5 O
1747577006474776932 14 11 6 O
1747577006478250700 14 12 6 O
1747577006483259246 14 13 6 O
1747577006485213240 14 14 6 O
1747577006488793677 14 14 5 O
1747577006492045301 14 0 5 O
1747577006494435550 14 14 5 O
1747577006499307711 14 0 5 O
1747577006501344853 14 0 4 O
1747577006507272076 14 0 5 O
1747577006510583230 14 0 4 O
1747577006512941536 14 0 5 O
1747577006517385574 14 0 4 O
1747577006470748724 25 13 0 #
1747577006470973384 26 2 8 #
1747577006471065049 27 3 8 #
1747577006471165812 28 10 14 #
1747577006508312426 28 10 14 #
1747577006471394247 29 4 11 #
1747577006487575322 29 4 11 #
1747577006471427835 30 4 13 #
1747577006471549022 31 9 6 #
1747577006505920338 31 9 6 #
1747577006516388879 31 9 6 #
1747577006471645043 32 3 6 #
1747577006471700022 33 12 10 #
1747577006497779420 33 12 10 #
1747577006471769714 34 11 4 #
1747577006489731811 34 11 4 #
1747577006471823919 35 5 11 #
1747577006471878608 36 2 10 #
1747577006493172379 36 2 10 #
1747577006530255495 36 2 10 #
1747577006471937750 37 8 9 #
1747577006471996504 38 5 6 #
1747577006472050903 39 6 9 #
1747577006502816132 24 10 6 8
1747577006505923339 24 9 6 *
1747577006516203808 24 15 15 *
1747577006495523619 21 12 3 5
1747577006504898477 21 12 4 5
1747577006509293343 21 12 3 5
1747577006511689884 21 12 2 5
1747577006519867681 21 15 15 5
1747577006472620636 16 4 7 0
1747577006479464313 16 5 7 0
1747577006490863244 16 5 8 0
1747577006502822908 16 4 8 0
1747577006508197627 16 4 7 0
1747577006510764720 16 5 7 0
1747577006519862067 16 4 7 0
1747577006519868843 16 15 15 0
1747577006474907605 17 4 8 1
1747577006478325813 17 5 8 1
1747577006487768040 17 6 8 1
1747577006496590877 17 6 7 1
1747577006502926575 17 7 7 1
1747577006518706629 17 6 7 1
1747577006519869907 17 15 15 1
1747577006518665394 25 5 10 9
1747577006519870682 25 15 15 9
1747577006479520744 19 12 11 3
1747577006488735116 19 13 11 3
1747577006493170733 19 14 11 3
1747577006497765578 19 14 12 3
1747577006500272367 19 14 11 3
1747577006510642758 19 14 10 3
1747577006517429229 19 0 10 3
1747577006519871940 19 15 15 3
1747577006493227358 20 10 3 4
1747577006496645276 20 10 4 4
1747577006507153503 20 9 4 4
1747577006516390912 20 9 5 4
1747577006519872811 20 15 15 4
1747577006500271012 23 0 7 7
1747577006515120385 23 0 6 7
1747577006519873682 23 15 15 7
1747577006477175698 18 2 13 2
1747577006487587227 18 1 13 2
1747577006497790454 18 1 14 2
1747577006504998466 18 0 14 2
1747577006515067051 18 0 13 2
1747577006519874747 18 15 15 2
1747577006497799746 22 3 10 6
1747577006506122059 22 3 9 6
1747577006511745057 22 3 10 6
1747577006519795763 22 2 10 *
1747577006530241557 22 15 15 *
